trade_date,underlying_code,direction,entry_time,etf_close,etf_volume_15m,market_iv,iv_rank_252,etf_volume_ratio,signal_strength,position_pct,daily_direction,daily_allowed_direction,daily_ref_date,daily_ref_close,daily_ref_ma5,daily_ref_ma10,daily_ref_ma20,daily_ref_ma5_slope,daily_ref_ma10_slope,daily_ref_ma20_slope,daily_ref_ma_cluster,daily_ref_volume_ratio20,option_code,contract_id,contract_symbol,entry_price,first_entry_price,first_position_pct,add_time,add_price,add_position_pct,opening_confirm_pass,opening_high,opening_low,opening_amp,breakout_time,breakout_volume,breakout_vol_ratio,stand_count,entry_option_volume_15m,cum_volume,option_trend_strength,dte,delta,implied_volatility,edge_dte_candidate,dte_position_factor,exit_time,exit_price_1,exit_price_2,return,exit_reason,exit_legs,tp1_time,high_water,strategy_leg,signal_time,etf_intraday_volume_progress_ratio,fallback_progress_min,late_trend_acceleration,strong_volume_min,high_iv_crash_put,etf_vol_threshold,etf_close_pos,risk_flags,daily_ref_upper_shadow_ratio,daily_ref_lower_shadow_ratio,signal_option_price,entry_price_source,high_iv_crash_put_candidate,selection_score,selection_liquidity_score,selection_delta_score,selection_trend_score,selection_dte_score,selection_iv_score,trailing_stop,strategy_source,position_pct_standalone,opening_strength_score,fallback_strength_score,dual_signal_date,selection_rule
2025-02-21,588000,call,2025-02-21 10:30:00,1.122,9468179.0,0.3725,0.0922276956759715,1.8867115685434457,strong_daily_volume_reduced_upper_shadow_position_scaled,0.175,none,call,2025-02-20,1.091,1.084,1.0842,1.0559,0.0035999999999998,0.0024000000000001,0.0029500000000002,0.0259395050412465,0.7342416727135658,10008131,588000C2503M01150,科创50购3月1150,0.0266,,,,,,,,,,,,,,9695.0,18983.0,0.3089349910629899,33,0.555,0.331,,,2025-02-21 13:49:00,0.0399,0.04368,0.5947368421052632,trail_20%,0.333333@0.039900;0.666667@0.043680,2025-02-21 11:29:00,0.0546,strong_15m_fallback,2025-02-21 10:30:00,1.9771207980876844,1.15,True,1.8,False,1.2,0.8000000000000059,"daily_volume_70pct,upper_shadow,position_2.5x",0.5,0.5,0.0266,signal_bar_close,False,0.8650582737903945,1.0,0.633333333333333,0.9586247022853056,0.65,1.0,0.04368,588000_v1.1,0.175,,1.9350887882497023,False,single_signal
2025-02-24,588000,call,2025-02-24 09:41:00,1.157,1013729.0,0.3735,0.0927750410509031,1.3182315162882825,normal,0.5,call,call,2025-02-21,1.157,1.0998,1.0923000000000005,1.0632,0.0157999999999998,0.0081000000000002,0.0072999999999998,0.0316335350043214,2.1175933855228246,10008221,588000C2503M01200,科创50购3月1200,0.03738,0.0371,0.325,2025-02-24 09:45:00,0.0379,0.175,True,1.155,1.143,0.010498687664042,2025-02-24 09:38:00,1013729.0,1.3182315162882825,3.0,10326.0,10326.0,0.0228608752449377,30,0.395,0.34,False,1.0,2025-02-24 14:04:00,0.028035,0.028035,-0.25,soft_stop,1.0@0.028035,,,opening_primary,,,,,,,,,,,,,,,,,,,,,,588000_v1.1,0.5,3.548641271386454,,False,single_signal
2025-04-07,588000,put,2025-04-07 09:46:00,1.003,16133135.0,0.7629999999999999,0.3059660645867542,12.708879835013605,strong_position_scaled_high_iv_crash_put,0.25,put,put,2025-04-03,1.068,1.0745999999999998,1.0825,1.11355,-0.0048000000000003,-0.0050999999999998,-0.0056499999999999,0.0364700374531837,0.8568123713393371,10008994,588000P2504M01000,科创50沽4月1000,0.0349,,,,,,,,,,,,,,23644.0,25311.0,0.502460024600246,16,-0.534,0.818,,,2025-04-07 09:55:00,0.05235,0.04875,0.4312320916905443,trail_35%,0.333333@0.052350;0.666667@0.048750,2025-04-07 09:50:00,0.075,strong_15m_fallback,2025-04-07 09:45:00,3.500446523966678,1.15,True,1.8,True,1.2,0.0,"position_2.5x,high_iv_crash_put_cap",0.7368421052631536,0.1052631578947362,0.0349,next_minute_open,True,0.7241583100269043,0.9117795389048992,0.7733333333333331,0.3305658056580566,1.0,0.0,0.04875,588000_v1.1,0.25,,42.36293278337868,False,single_signal
2025-04-07,588000,put,2025-04-07 13:15:00,0.986,4556307.0,0.7629999999999999,0.3059660645867542,2.188401255815611,strong_position_scaled_high_iv_crash_put,0.25,put,put,2025-04-03,1.068,1.0745999999999998,1.0825,1.11355,-0.0048000000000003,-0.0050999999999998,-0.0056499999999999,0.0364700374531837,0.8568123713393371,10008994,588000P2504M01000,科创50沽4月1000,0.0545,,,,,,,,,,,,,,8903.0,133098.0,0.6594686956986202,16,-0.534,0.818,,,2025-04-07 14:24:00,0.08175,0.14392,1.260489296636086,trail_20%,0.333333@0.081750;0.666667@0.143920,2025-04-07 14:02:00,0.1799,strong_15m_fallback,2025-04-07 13:15:00,2.4884952413069095,1.15,True,1.8,True,1.2,0.2666666666666666,"position_2.5x,high_iv_crash_put_cap",0.7368421052631536,0.1052631578947362,0.0545,signal_bar_close,True,0.8233586762078787,1.0,0.7733333333333331,0.6501267143727274,1.0,0.0,0.14392,588000_v1.1,0.25,,3.8210180657097976,False,single_signal
2025-07-23,159915,call,2025-07-23 09:40:00,2.29,280178.0,0.2628,0.1054777521716008,1.7629240914124635,normal,0.325,call,call,2025-07-22,2.289,2.2537999999999996,2.2175,2.1692,0.0153999999999996,0.0129999999999999,0.0122500000000003,0.0369593709043248,1.0560655308656606,90005721,159915C2508M002300,创业板ETF购8月2300,0.0589,0.0589,0.325,,,0.0,False,2.288,2.282,0.0026292725679227,2025-07-23 09:35:00,280178.0,1.7629240914124635,3.0,6737.0,6737.0,0.0247191011235954,35,0.498,0.2213416112433874,False,1.0,2025-07-23 09:45:00,0.0602,0.0602,0.0220713073005092,opening_confirm_fail,1.0@0.060200,,,opening_primary,,,,,,,,,,,,,,,,,,,,,,159915_v1.1,0.325,1.483266544921869,,False,single_signal
2025-07-25,588000,call,2025-07-25 14:15:00,1.098,6693249.0,0.263,0.0299039780521261,4.244155071712963,strong_cluster_position_scaled,0.25,call,call,2025-07-24,1.086,1.0699999999999998,1.0597,1.0495,0.0057999999999998,0.0053,0.0022499999999998,0.0188766114180478,1.1941617565661031,10009568,588000C2508M01100,科创50购8月1100,0.0336,,,,,,,,,,,,,,18010.0,80120.0,0.1489059612366221,33,0.572,0.252,,,2025-07-25 14:55:00,0.0398,0.0398,0.1845238095238097,eod,1.0@0.039800,,0.0428,strong_15m_fallback,2025-07-25 14:15:00,1.2474611942080218,1.15,True,1.8,False,1.2,1.0,"ma_cluster,position_2.5x",0.0666666666666597,0.0,0.0336,signal_bar_close,False,0.8253388812178324,1.0,0.5200000000000002,0.9016944060891616,0.65,1.0,,588000_v1.1,0.25,,5.441224450914055,False,single_signal
2025-07-29,588000,call,2025-07-29 10:15:00,1.118,6400607.0,0.2714999999999999,0.0345679012345678,3.0897617131412867,strong_position_scaled,0.5,call,call,2025-07-28,1.11,1.0896,1.0723,1.0556,0.0098,0.0064000000000001,0.0027000000000001,0.0306306306306304,1.2142385761679102,10009568,588000C2508M01100,科创50购8月1100,0.044,,,,,,,,,,,,,,22955.0,42989.0,0.1311860958861517,29,0.648,0.256,,,2025-07-29 14:55:00,0.0479,0.0479,0.0886363636363636,eod,1.0@0.047900,,0.0485,strong_15m_fallback,2025-07-29 10:15:00,1.1956995967634128,1.15,True,1.8,False,1.2,0.8461538461538475,position_2.5x,0.2727272727272801,0.63636363636364,0.044,signal_bar_close,False,0.7183333333333333,1.0,0.0133333333333331,1.0,0.65,1.0,,588000_v1.1,0.5,,3.3518125093248723,False,single_signal
2025-08-20,588000,call,2025-08-20 09:41:00,1.169,811212.0,0.364,0.0853223593964334,1.6388174183997362,normal,0.325,call,call,2025-08-19,1.17,1.1572,1.1334,1.11775,0.0091999999999998,0.0060999999999999,0.0050499999999999,0.0337179487179487,0.9524063954016267,10008855,588000C2509M01250,科创50购9月1250,0.0261,0.0261,0.325,,,0.0,True,1.167,1.162,0.004302925989673,2025-08-20 09:38:00,811212.0,1.6388174183997362,3.0,2022.0,2022.0,0.0241935483870965,35,0.413,0.366,False,1.0,2025-08-20 14:55:00,0.035235,0.0383,0.4087164750957854,tp1_eod,0.5@0.035235;0.5@0.038300,2025-08-20 14:17:00,,opening_primary,,,,,,,,,,,,,,,,,,,,,,588000_v1.1,0.325,1.8081307851182138,,False,single_signal
2025-08-22,588000,call,2025-08-22 09:40:00,1.241,1283604.0,0.4639999999999999,0.1401920438957475,1.7158480989916685,normal,0.5,call,call,2025-08-21,1.208,1.1854,1.1525,1.13055,0.0132000000000001,0.0096,0.0060999999999999,0.0454056291390729,1.1285258827209177,10008929,588000C2509M01400,科创50购9月1400,0.01524,0.0151,0.325,2025-08-22 09:45:00,0.0155,0.175,True,1.23,1.218,0.0098522167487684,2025-08-22 09:37:00,1283604.0,1.7158480989916685,3.0,7959.0,7959.0,0.1147132169576059,33,0.383,0.484,False,1.0,2025-08-22 13:15:00,0.020574,0.027432,0.5750000000000001,tp2,0.5@0.020574;0.5@0.027432,2025-08-22 10:31:00,,opening_primary,,,,,,,,,,,,,,,,,,,,,,588000_v1.1,0.5,4.334591635699522,,True,opening_priority_stronger_opening
2025-09-17,159915,call,2025-09-17 09:40:00,3.068,268190.0,0.41,0.3664243928381492,1.487028216885774,normal_daily_volume_reduced,0.2274999999999999,call,call,2025-09-16,3.059,2.9982,2.9309000000000003,2.8363000000000005,0.0427999999999997,0.0211000000000005,0.0242000000000004,0.0529257927427261,0.7915287424614581,90006227,159915C2510M003100,创业板ETF购10月3100,0.1324,0.1324,0.2274999999999999,,,0.0,True,3.059,3.048,0.0036089238845144,2025-09-17 09:37:00,268190.0,1.487028216885774,3.0,1203.0,1203.0,0.0399999999999998,35,0.551,0.4060202760447264,False,1.0,2025-09-17 14:55:00,0.1635,0.1635,0.2348942598187313,eod,1.0@0.163500,,,opening_primary,,,,,,,,,,,,,,,,,,,,,,159915_v1.1,0.2274999999999999,1.7173029276370975,,False,single_signal
