trade_date,entry_time,direction,contract_id,position_pct,entry_mid,entry_fill,contracts,planned_contracts,volume15,volume_share,premium,fee,gross_pnl,net_pnl,return_on_premium,capital_before,capital_after,exit_reason,exit_legs,exit_fills,skipped,skip_reason
2023-08-30,2023-08-30 09:45:00,put,588000P_REV_10005542,0.2,0.0573,0.0576,34,34,1198.0,0.028380634390651,19584.0,136.0,-816.0,-952.0,-0.0486111111111111,100000.0,99048.0,eod_1445_putrev,1.0@0.055500,34@0.055200,False,
2023-11-07,2023-11-07 09:45:00,put,588000P_REV_10005541,0.2,0.035,0.0353,56,56,1359.0,0.0412067696835908,19768.000000000004,224.0,-112.00000000000364,-336.00000000000364,-0.0169971671388103,99048.0,98712.0,eod_1445_putrev,1.0@0.035400,56@0.035100,False,
2024-02-08,2024-02-08 09:45:00,put,588000P_REV_10005828,0.2,0.0423,0.0426,46,46,4444.0,0.0103510351035103,19596.0,184.0,-3778.440000000001,-3962.440000000001,-0.202206572769953,98712.0,94749.56,soft_stop,1.0@0.034686,46@0.034386,False,
2024-06-05,2024-06-05 09:45:00,put,588000P_REV_10006796,0.2,0.0409,0.0412,45,45,1807.0,0.0249031543995572,18540.0,180.0,1575.0,1395.0,0.0752427184466019,94749.56,96144.56,eod_1445_putrev,1.0@0.045000,45@0.044700,False,
2024-06-07,2024-06-07 09:45:00,put,588000P_REV_10006796,0.2,0.0478,0.0481,39,39,2870.0,0.013588850174216,18759.0,156.0,1716.0,1560.0,0.0831600831600831,96144.56,97704.56,eod_1445_putrev,1.0@0.052800,39@0.052500,False,
2024-06-18,2024-06-18 09:45:00,put,588000P_REV_10006796,0.2,0.0356,0.0359,54,54,1939.0,0.0278494069107787,19386.0,216.0,1620.0,1404.0,0.0724233983286908,97704.56,99108.56,eod_1445_putrev,1.0@0.039200,54@0.038900,False,
2024-06-24,2024-06-24 09:45:00,put,588000P_REV_10006796,0.2,0.0382,0.0385,51,51,1739.0,0.0293271995399654,19635.0,204.0,6395.199999999997,6191.199999999997,0.3153144894321363,99108.56,105299.76,tp1_eod_1445_putrev,0.5@0.051570;0.5@0.051100,26@0.051270;25@0.050800,False,
2024-07-08,2024-07-08 09:45:00,put,588000P_REV_10006795,0.2,0.044,0.0443,47,47,1340.0,0.0350746268656716,20821.0,188.0,2584.9999999999964,2396.9999999999964,0.1151241534988711,105299.76,107696.76,eod_1445_putrev,1.0@0.050100,47@0.049800,False,
2024-07-10,2024-07-10 09:45:00,put,588000P_REV_10006795,0.2,0.035,0.0353,61,61,1774.0,0.0343855693348365,21533.000000000004,244.0,1158.9999999999927,914.9999999999928,0.0424929178470251,107696.76,108611.75999999998,eod_1445_putrev,1.0@0.037500,61@0.037200,False,
2024-07-22,2024-07-22 09:45:00,put,588000P_REV_10006796,0.2,0.0405,0.0408,53,53,1139.0,0.0465320456540825,21624.000000000004,212.0,1828.4999999999964,1616.4999999999964,0.0747549019607841,108611.75999999998,110228.25999999998,trend_quick_tp_10%,1.0@0.044550,53@0.044250,False,
